comment,rating
Can't stay awake always tired and doesn't seem to work for me I've had up to 40mg need to try a different tablet,1
My doctor told me 50% of people feel an improvement in the first drug they take.",1
"No improvement after 3 months @ 40 mg.  TERRIBLE dry mouth, especially at night. I waken throughout night,'cuz my mouth feels like it's full of toxic glue, and I can't get it hydrated no matter what I try.  I'm titrating off starting today!",1
"I was on this for two years for depression/anxiety.  At first it worked, but I had to keep increasing my dose and finally it just quit working completely.  Not only was I JUST as depressed as before, but I also gained 25 pounds and can't lose any more than 5 pounds after having been off if for four months.  I do believe it has done something to my metabolism and really hope I can get my body to return to normal.  If I could go back in time, I would NEVER have gotten on this horrible drug.  I will never take an antidepressant again. ",1
Depression has greatly increased,1
"I've been told, by doctors through the years, that I've been depressed all my life and don't know it.  Was prescribed Wellbutrin but it seems I'm one of those rarer side effects.  Now, I have been prescribed 10mg of this at bedtime.  I also have low testosterone, adult ADD they say and high blood pressure.  I. Wondering if anyone has had similar prognosis and what they have done that worked?  I exercise regularly and eat decent.  dadtech@hotmail.com",1
"Too many side effects to warrant its use in my case, was slightly effective but my mild depression didnt warrant use of what I see as quite a powerful mind changing substance. It helped but at a cost.",1
makes me very tired and nauseated,1
"I was given this generic, actually two generics (both new to me) were mixed in one prescription container. I had been doing fine on another citalopram generic and am again now. But for the month of April I went from not crying at all while on the meds (a trade off I accepted) to crying every day and feeling extremely depressed. It was as if I was taking nothing at all. ",1
"They prescribed this drug because of the depression I experienced when my testosterone went low. I should have had the testosterone issue treated properly, but they insisted I used an ineffective testosterone gel. A year ago I found out that getting testosterone injections was far more effective and less expensive than androgen.  by then I was hooked on Celexa/Citalopram. I eventually weaned myself off of anti depressants, (thanks to medical mj which helped immensely, and I no longer need that) - but after 3 weeks off celexa, and my test levels normal, I had the biggest spiritual breakthru in my life. My gut feeling is BigPharma does not care about the condition of your soul, they just want to make money.  Anti depressants are only for people who absolutely need them or will die. I would do everything in my power to treat the real cause of depression, and not use an anti depressant. NEVER AGAIN for me. At age 58, my soul is finally free and I am back to normal and happy now",1
"Against my wishes, my pcp prescribed this to me because my mother wanted a quick fix instead of some therapy (@ age 17). It gave me worse depression symptoms; I could/would not go to school, antisocial, barely ate. When I got off of it, I went through a severe withdrawal consisting of cold sweats and rage for 2 weeks.",1
This medication doesn't work at all. ,1
